vaccine.efficacy,rsv.attack.rate,RR.wheeze.rsvh,baseline.risk.wheeze,percent.altered,risk.wheeze.unvacc,risk.wheeze.vacc,RR.wheeze.vacc,size.one.arm.equal,size.unvacc.2.1,size.vacc.2.1,sample.total.2.1,sample.total.1.1,RD.wheeze.vacc,NNT,Vaccine efficacy,plausible,Risk ratio for RSV and wheeze,Baseline risk of recurrent wheeze,RSV attack rate,Risk ratio for vaccination and wheeze,Sample size
0.5,0.027,1.6,0.049,0.0135,0.049793800000000006,0.04939690000000001,0.992029128124385,4697046.670381359,3521004.078015764,7042018.7190543255,10563023,9394094,3.9689999999999864e-4,2519.526329050147,50%,NA,1.6,0.049,0.027,0.992029128124385,4697046.670381359
0.5,0.027,1.6,0.095,0.0135,0.096539,0.09576950000000001,0.992029128124385,2304002.8113798043,1727178.340533465,3454361.8626071336,5181541,4608006,7.694999999999924e-4,1299.545159194295,50%,NA,1.6,0.095,0.027,0.992029128124385,2304002.8113798043
0.5,0.027,1.6,0.2,0.0135,0.20324,0.20162,0.9920291281243849,965719.0445790294,724000.7868168436,1448003.7456382196,2172005,1931439,0.0016200000000000103,617.28395061728,50%,NA,1.6,0.2,0.027,0.9920291281243849,965719.0445790294
0.5,0.027,2.6,0.049,0.0135,0.051116800000000004,0.05005840000000001,0.9792944785276074,673032.7887619372,504107.7677128138,1008217.0477504432,1512325,1346066,0.001058399999999994,944.8223733938073,50%,NA,2.6,0.049,0.027,0.9792944785276074,673032.7887619372
0.5,0.027,2.6,0.095,0.0135,0.099104,0.09705200000000001,0.9792944785276075,329778.2328602178,247025.98050753443,494052.7020937515,741079,659557,0.0020519999999999844,487.3294346978595,50%,NA,2.6,0.095,0.027,0.9792944785276075,329778.2328602178
0.5,0.027,2.6,0.2,0.0135,0.20864,0.20432,0.9792944785276074,137816.8535000082,103255.77686975594,206511.86350715227,309768,275634,0.0043199999999999905,231.48148148148198,50%,NA,2.6,0.2,0.027,0.9792944785276074,137816.8535000082
0.5,0.027,4,0.049,0.0135,0.052969,0.05098450000000001,0.9625346901017577,196408.81065987318,146951.51838690674,293903.4776288095,440855,392818,0.001984499999999993,503.90526581002945,50%,NA,4,0.049,0.027,0.9625346901017577,196408.81065987318
0.5,0.027,4,0.095,0.0135,0.10269500000000001,0.0988475,0.9625346901017576,96090.82326462692,71904.82004966466,143809.8558140052,215715,192182,0.0038475000000000037,259.90903183885615,50%,NA,4,0.095,0.027,0.9625346901017576,96090.82326462692
0.5,0.027,4,0.2,0.0135,0.2162,0.2081,0.9625346901017576,39989.079220393214,29935.76068285528,59871.61117308243,89808,79979,0.008099999999999996,123.45679012345686,50%,Implausible,4,0.2,0.027,0.9625346901017576,39989.079220393214
0.7,0.027,1.6,0.049,0.0189,0.049793800000000006,0.04923814000000001,0.988840779374139,2392815.9916773327,1793339.6364969297,3586684.653018149,5380025,4785632,5.556599999999995e-4,1799.6616636072436,70%,NA,1.6,0.049,0.027,0.988840779374139,2392815.9916773327
0.7,0.027,1.6,0.095,0.0189,0.096539,0.09546170000000001,0.9888407793741391,1173829.427998817,879783.4049877528,1759569.4493283601,2639353,2347659,0.0010772999999999894,928.2465422816391,70%,NA,1.6,0.095,0.027,0.9888407793741391,1173829.427998817
0.7,0.027,1.6,0.2,0.0189,0.20324,0.200972,0.988840779374139,492124.4421146129,368887.0043236039,737775.1153093275,1106663,984249,0.0022679999999999922,440.91710758377576,70%,NA,1.6,0.2,0.027,0.988840779374139,492124.4421146129
0.7,0.027,2.6,0.049,0.0189,0.051116800000000004,0.049635040000000005,0.9710122699386503,342022.8714807386,256040.27893964792,512081.3260009008,768122,684046,0.0014817599999999986,674.8731238527163,70%,NA,2.6,0.049,0.027,0.9710122699386503,342022.8714807386
0.7,0.027,2.6,0.095,0.0189,0.099104,0.0962312,0.9710122699386503,167625.81378521255,125499.16994235526,250998.71638259687,376498,335252,0.002872799999999995,348.0924533556119,70%,NA,2.6,0.095,0.027,0.9710122699386503,167625.81378521255
0.7,0.027,2.6,0.2,0.0189,0.20864,0.202592,0.9710122699386503,70096.15488819306,52495.46510673861,104991.08770003004,157487,140193,0.006047999999999998,165.3439153439154,70%,NA,2.6,0.2,0.027,0.9710122699386503,70096.15488819306
0.7,0.027,4,0.049,0.0189,0.052969,0.050190700000000005,0.9475485661424607,99484.4247363592,74359.08140981241,148718.38589709214,223078,198969,0.0027782999999999974,359.9323327214487,70%,NA,4,0.049,0.027,0.9475485661424607,99484.4247363592
0.7,0.027,4,0.095,0.0189,0.10269500000000001,0.0973085,0.9475485661424606,48692.614241926785,36402.39680340813,72804.90281411589,109208,97386,0.005386500000000002,185.6493084563259,70%,NA,4,0.095,0.027,0.9475485661424606,48692.614241926785
0.7,0.027,4,0.2,0.0189,0.2162,0.20486,0.9475485661424606,20287.84629024729,15175.52438107654,30351.094288771754,45527,40576,0.011340000000000017,88.18342151675472,70%,Implausible,4,0.2,0.027,0.9475485661424606,20287.84629024729
0.9,0.027,1.6,0.049,0.0243,0.049793800000000006,0.049079380000000006,0.985652430623893,1445305.6740471018,1082989.3101803726,2165981.8693319247,3248972,2890612,7.144200000000003e-4,1399.7368494722984,90%,NA,1.6,0.049,0.027,0.985652430623893,1445305.6740471018
0.9,0.027,1.6,0.095,0.0243,0.096539,0.09515390000000001,0.9856524306238931,709076.2078066932,531349.0405005534,1062699.6750498225,1594049,1418153,0.0013850999999999863,721.9695328857193,90%,NA,1.6,0.095,0.027,0.9856524306238931,709076.2078066932
0.9,0.027,1.6,0.2,0.0243,0.20324,0.200324,0.985652430623893,297347.8813046622,222850.2076040926,445701.0837594766,668552,594696,0.002916000000000002,342.93552812071306,90%,NA,1.6,0.2,0.027,0.985652430623893,297347.8813046622
0.9,0.027,2.6,0.049,0.0243,0.051116800000000004,0.04921168000000001,0.9627300613496933,206078.77603613873,154187.71445210464,308375.89146781527,462564,412158,0.0019051199999999963,524.9013185521133,90%,NA,2.6,0.049,0.027,0.9627300613496933,206078.77603613873
0.9,0.027,2.6,0.095,0.0243,0.099104,0.0954104,0.9627300613496933,101022.63089091382,75595.38614990252,151190.9990861903,226787,202046,0.0036935999999999913,270.7385748321427,90%,NA,2.6,0.095,0.027,0.9627300613496933,101022.63089091382
0.9,0.027,2.6,0.2,0.0243,0.20864,0.200864,0.9627300613496932,42271.12365502148,31643.472213724974,63287.03935796153,94931,84543,0.007776000000000005,128.60082304526742,90%,NA,2.6,0.2,0.027,0.9627300613496932,42271.12365502148
0.9,0.027,4,0.049,0.0243,0.052969,0.04939690000000001,0.9325624421831639,59743.364571109145,44609.30608652817,89218.74600110845,133829,119487,0.0035720999999999947,279.9473698944603,90%,NA,4,0.049,0.027,0.9325624421831639,59743.364571109145
0.9,0.027,4,0.095,0.0243,0.10269500000000001,0.09576950000000001,0.9325624421831638,29253.886250287218,21849.031709992876,43698.12896714643,65548,58508,0.006925500000000001,144.39390657714242,90%,NA,4,0.095,0.027,0.9325624421831638,29253.886250287218
0.9,0.027,4,0.2,0.0243,0.2162,0.20162,0.9325624421831636,12202.976875756527,9120.586447743268,18241.20025727324,27362,24406,0.01458000000000001,68.58710562414261,90%,Implausible,4,0.2,0.027,0.9325624421831636,12202.976875756527
0.5,0.06,1.6,0.049,0.03,0.050764,0.049881999999999996,0.9826254826254827,964367.1600121326,722474.9218419996,1444952.0111109323,2167427,1928735,8.820000000000008e-4,1133.7868480725613,50%,NA,1.6,0.049,0.06,0.9826254826254827,964367.1600121326
0.5,0.06,1.6,0.095,0.03,0.09842,0.09670999999999999,0.9826254826254825,472665.98059434065,354129.895574114,708260.8535389772,1062391,945332,0.0017100000000000032,584.7953216374258,50%,NA,1.6,0.095,0.06,0.9826254826254825,472665.98059434065
0.5,0.06,1.6,0.2,0.03,0.2072,0.2036,0.9826254826254827,197687.4405790481,148136.93497426485,296274.31435977906,444412,395375,0.003599999999999992,277.7777777777784,50%,NA,1.6,0.2,0.06,0.9826254826254827,197687.4405790481
0.5,0.06,2.6,0.049,0.03,0.053703999999999995,0.051351999999999995,0.9562043795620437,141226.65078658253,105620.56174353618,211241.4403490745,316863,282454,0.002352,425.1700680272109,50%,NA,2.6,0.049,0.06,0.9562043795620437,141226.65078658253
0.5,0.06,2.6,0.095,0.03,0.10411999999999999,0.09956,0.9562043795620438,69051.4289606329,51651.05798236873,103302.27091806637,154954,138103,0.004559999999999995,219.29824561403535,50%,NA,2.6,0.095,0.06,0.9562043795620438,69051.4289606329
0.5,0.06,2.6,0.2,0.03,0.2192,0.2096,0.9562043795620438,28688.220659932114,21469.190365846425,42938.44513932836,64408,57377,0.009599999999999997,104.1666666666667,50%,NA,2.6,0.2,0.06,0.9562043795620438,28688.220659932114
0.5,0.06,4,0.049,0.03,0.057819999999999996,0.05341,0.9237288135593221,42392.53966804658,31635.27381907568,63270.64254406773,94906,84786,0.004409999999999997,226.7573696145126,50%,NA,4,0.049,0.06,0.9237288135593221,42392.53966804658
0.5,0.06,4,0.095,0.03,0.11209999999999999,0.10355,0.9237288135593221,20656.187637112016,15419.614947960301,30839.27615481171,46259,41313,0.008549999999999988,116.95906432748554,50%,NA,4,0.095,0.06,0.9237288135593221,20656.187637112016
0.5,0.06,4,0.2,0.03,0.236,0.218,0.9237288135593221,8500.368967225477,6351.173466898309,12702.365987336074,19054,17001,0.017999999999999988,55.55555555555559,50%,Implausible,4,0.2,0.06,0.9237288135593221,8500.368967225477
0.7,0.06,1.6,0.049,0.041999999999999996,0.050764,0.049529199999999995,0.9756756756756757,490389.8344014382,367220.07625883375,734441.2541789981,1101662,980780,0.0012348000000000012,809.8477486232581,70%,NA,1.6,0.049,0.06,0.9756756756756757,490389.8344014382
0.7,0.06,1.6,0.095,0.041999999999999996,0.09842,0.09602599999999999,0.9756756756756756,240401.26703836597,180036.55885541873,360073.65782105416,540111,480803,0.0023940000000000072,417.71094402673225,70%,NA,1.6,0.095,0.06,0.9756756756756756,240401.26703836597
0.7,0.06,1.6,0.2,0.041999999999999996,0.2072,0.20216,0.9756756756756757,100597.87800278714,75356.20290499255,150712.6318788199,226069,201196,0.005039999999999989,198.41269841269886,70%,NA,1.6,0.2,0.06,0.9756756756756757,100597.87800278714
0.7,0.06,2.6,0.049,0.041999999999999996,0.053703999999999995,0.050411199999999996,0.9386861313868613,71444.02087592574,53368.53642420095,106737.2329541713,160106,142889,0.0032927999999999985,303.69290573372217,70%,NA,2.6,0.049,0.06,0.9386861313868613,71444.02087592574
0.7,0.06,2.6,0.095,0.041999999999999996,0.10411999999999999,0.09773599999999999,0.9386861313868613,34949.69608921263,26113.62455424549,52227.327449442986,78341,69900,0.006384000000000001,156.64160401002505,70%,NA,2.6,0.095,0.06,0.9386861313868613,34949.69608921263
0.7,0.06,2.6,0.2,0.041999999999999996,0.2192,0.20576,0.9386861313868613,14540.641607813735,10871.601979240964,21743.236573320482,32615,29082,0.013440000000000007,74.40476190476187,70%,NA,2.6,0.2,0.06,0.9386861313868613,14540.641607813735
0.7,0.06,4,0.049,0.041999999999999996,0.057819999999999996,0.051646,0.8932203389830509,21305.12748571802,15864.58440503846,31729.216403877734,47594,42611,0.006173999999999999,161.96954972465178,70%,NA,4,0.049,0.06,0.8932203389830509,21305.12748571802
0.7,0.06,4,0.095,0.041999999999999996,0.11209999999999999,0.10012999999999998,0.8932203389830508,10391.02819264044,7741.048253607477,15482.11973038294,23224,20783,0.011970000000000008,83.54218880534664,70%,NA,4,0.095,0.06,0.8932203389830508,10391.02819264044
0.7,0.06,4,0.2,0.041999999999999996,0.236,0.2108,0.8932203389830509,4287.4366983069085,3198.038260349343,6396.086114823062,9595,8575,0.0252,39.682539682539684,70%,Implausible,4,0.2,0.06,0.8932203389830509,4287.4366983069085
0.9,0.06,1.6,0.049,0.054,0.050764,0.0491764,0.9687258687258689,295666.46844512416,221304.27341390654,442609.2107412973,663914,591333,0.0015875999999999946,629.8815822625368,90%,NA,1.6,0.049,0.06,0.9687258687258689,295666.46844512416
0.9,0.06,1.6,0.095,0.054,0.09842,0.09534199999999998,0.9687258687258686,144970.78798268863,108522.12970895383,217044.58498462237,325567,289942,0.0030780000000000113,324.8862897985693,90%,NA,1.6,0.095,0.06,0.9687258687258686,144970.78798268863
0.9,0.06,1.6,0.2,0.054,0.2072,0.20072,0.9687258687258687,60695.86670123679,45449.93325252292,90900.00285498195,136350,121392,0.006479999999999986,154.32098765432133,90%,NA,1.6,0.2,0.06,0.9687258687258687,60695.86670123679
0.9,0.06,2.6,0.049,0.054,0.053703999999999995,0.0494704,0.9211678832116789,42849.46846527126,31969.806433725822,63939.708776966865,95910,85699,0.004233599999999997,236.20559334845066,90%,NA,2.6,0.049,0.06,0.9211678832116789,42849.46846527126
0.9,0.06,2.6,0.095,0.054,0.10411999999999999,0.09591199999999998,0.9211678832116788,20972.14398825281,15652.048876368586,31304.144708930762,46957,41945,0.008208000000000007,121.83235867446383,90%,NA,2.6,0.095,0.06,0.9211678832116788,20972.14398825281
0.9,0.06,2.6,0.2,0.054,0.2192,0.20192000000000002,0.9211678832116789,8737.488041309225,6526.510870334632,13053.041320221457,19580,17475,0.01727999999999999,57.8703703703704,90%,NA,2.6,0.2,0.06,0.9211678832116789,8737.488041309225
0.9,0.06,4,0.049,0.054,0.057819999999999996,0.049881999999999996,0.8627118644067796,12691.952760112588,9429.621654318116,18859.271597529485,28289,25384,0.007938,125.97631645250692,90%,NA,4,0.049,0.06,0.8627118644067796,12691.952760112588
0.9,0.06,4,0.095,0.054,0.11209999999999999,0.09670999999999999,0.8627118644067796,6195.990629705752,4606.045325677472,9212.10446950474,13819,12392,0.015390000000000001,64.9772579597141,90%,NA,4,0.095,0.06,0.8627118644067796,6195.990629705752
0.9,0.06,4,0.2,0.054,0.236,0.2036,0.8627118644067797,2563.1942824796724,1908.5018069674734,3817.0093394460937,5726,5127,0.032399999999999984,30.864197530864214,90%,Implausible,4,0.2,0.06,0.8627118644067797,2563.1942824796724
0.5,0.17,1.6,0.049,0.085,0.053998000000000004,0.051499,0.9537205081669692,125596.19928563625,93915.40479181801,187831.09133013219,281747,251193,0.0024990000000000012,400.16006402561004,50%,NA,1.6,0.049,0.17,0.9537205081669692,125596.19928563625
0.5,0.17,1.6,0.095,0.085,0.10469,0.099845,0.9537205081669692,61394.060125731005,45916.22169277822,91832.58113435928,137749,122789,0.004845000000000002,206.3983488132094,50%,NA,1.6,0.095,0.17,0.9537205081669692,61394.060125731005
0.5,0.17,1.6,0.2,0.085,0.22040000000000004,0.2102,0.953720508166969,25489.71163502109,19073.190924596936,38146.43906882387,57220,50980,0.010200000000000042,98.0392156862741,50%,NA,1.6,0.2,0.17,0.953720508166969,25489.71163502109
0.5,0.17,2.6,0.049,0.085,0.062328,0.055664000000000005,0.8930817610062893,19622.558704239033,14612.058354423578,29224.160545066057,43837,39246,0.006663999999999996,150.06002400960392,50%,Less likely,2.6,0.049,0.17,0.8930817610062893,19622.558704239033
0.5,0.17,2.6,0.095,0.085,0.12084,0.10792,0.8930817610062893,9524.811641744207,7096.224700063257,14192.470688821904,21289,19050,0.012920000000000001,77.39938080495355,50%,Less likely,2.6,0.095,0.17,0.8930817610062893,9524.811641744207
0.5,0.17,2.6,0.2,0.085,0.2544,0.2272,0.8930817610062893,3877.7562305011515,2893.064458058451,5786.137595318955,8680,7756,0.027200000000000002,36.76470588235294,50%,Less likely,2.6,0.2,0.17,0.8930817610062893,3877.7562305011515
0.5,0.17,4,0.049,0.085,0.07399,0.061495,0.8311258278145696,6348.653230058931,4706.2660527062235,9412.546224224725,14119,12698,0.012495,80.03201280512205,50%,Implausible,4,0.049,0.17,0.8311258278145696,6348.653230058931
0.5,0.17,4,0.095,0.085,0.14345000000000002,0.119225,0.8311258278145693,3050.5775741263337,2263.549383447173,4527.105557549287,6791,6102,0.024225000000000024,41.27966976264186,50%,Implausible,4,0.095,0.17,0.8311258278145693,3050.5775741263337
0.5,0.17,4,0.2,0.085,0.30200000000000005,0.251,0.8311258278145695,1206.1642859696915,897.4705006223357,1794.943693658866,2693,2413,0.051000000000000045,19.607843137254886,50%,Implausible,4,0.2,0.17,0.8311258278145695,1206.1642859696915
0.7,0.17,1.6,0.049,0.119,0.053998000000000004,0.0504994,0.9352087114337567,63505.436028782475,47427.22742763785,94854.59713710028,142282,127011,0.0034986000000000045,285.8286171611498,70%,NA,1.6,0.049,0.17,0.9352087114337567,63505.436028782475
0.7,0.17,1.6,0.095,0.119,0.10469,0.09790700000000001,0.9352087114337568,31059.612457692016,23201.912093092713,46403.893791991315,69606,62120,0.006782999999999997,147.4273920094354,70%,NA,1.6,0.095,0.17,0.9352087114337568,31059.612457692016
0.7,0.17,1.6,0.2,0.119,0.22040000000000004,0.20612000000000003,0.9352087114337567,12914.638258571831,9654.158356746859,19308.345675997753,28963,25830,0.014280000000000015,70.02801120448171,70%,NA,1.6,0.2,0.17,0.9352087114337567,12914.638258571831
0.7,0.17,2.6,0.049,0.119,0.062328,0.0529984,0.8503144654088051,9798.605232866386,7273.470586546461,14546.962993526504,21821,19598,0.0093296,107.18573143543131,70%,Less likely,2.6,0.049,0.17,0.8503144654088051,9798.605232866386
0.7,0.17,2.6,0.095,0.119,0.12084,0.10275200000000001,0.8503144654088051,4763.082075321725,3538.054831405495,7076.120276986099,10615,9527,0.018087999999999993,55.28527200353828,70%,Less likely,2.6,0.095,0.17,0.8503144654088051,4763.082075321725
0.7,0.17,2.6,0.2,0.119,0.2544,0.21632000000000004,0.8503144654088052,1947.0202902595313,1449.0519255397064,2898.108198239537,4348,3895,0.038079999999999975,26.26050420168069,70%,Less likely,2.6,0.2,0.17,0.8503144654088052,1947.0202902595313
0.7,0.17,4,0.049,0.119,0.07399,0.056497000000000006,0.7635761589403974,3127.383211877741,2305.5431537544027,4611.093224145184,6917,6255,0.017492999999999995,57.16572343223005,70%,Implausible,4,0.049,0.17,0.7635761589403974,3127.383211877741
0.7,0.17,4,0.095,0.119,0.14345000000000002,0.10953500000000001,0.7635761589403973,1506.765318008404,1112.2653268599208,2224.5339905191595,3337,3014,0.033915000000000015,29.485478401887057,70%,Implausible,4,0.095,0.17,0.7635761589403973,1506.765318008404
0.7,0.17,4,0.2,0.119,0.30200000000000005,0.23060000000000003,0.7635761589403973,600.451721170046,444.9210041182009,889.8433430007491,1335,1201,0.07140000000000002,14.005602240896355,70%,Implausible,4,0.2,0.17,0.7635761589403973,600.451721170046
0.9,0.17,1.6,0.049,0.15300000000000002,0.053998000000000004,0.049499800000000004,0.9166969147005445,38068.974339956985,28394.258911071684,56788.60300500529,85183,76138,0.004498200000000001,222.31114668089455,90%,NA,1.6,0.049,0.17,0.9166969147005445,38068.974339956985
0.9,0.17,1.6,0.095,0.15300000000000002,0.10469,0.09596900000000001,0.9166969147005445,18629.008522453973,13899.247565754715,27798.53682929383,41698,37259,0.008720999999999993,114.66574934067204,90%,NA,1.6,0.095,0.17,0.9166969147005445,18629.008522453973
0.9,0.17,1.6,0.2,0.15300000000000002,0.22040000000000004,0.20204000000000003,0.9166969147005444,7757.418868573981,5793.060466693119,11586.138312585019,17380,15515,0.018360000000000015,54.46623093681913,90%,NA,1.6,0.2,0.17,0.9166969147005444,7757.418868573981
0.9,0.17,2.6,0.049,0.15300000000000002,0.062328,0.0503328,0.8075471698113207,5798.253222945798,4289.515533581184,8579.043935721838,12869,11597,0.011995200000000004,83.36668000533544,90%,Less likely,2.6,0.049,0.17,0.8075471698113207,5798.253222945798
0.9,0.17,2.6,0.095,0.15300000000000002,0.12084,0.097584,0.8075471698113208,2822.4804470020704,2089.891436428276,4179.789142537132,6270,5645,0.023256,42.99965600275198,90%,Less likely,2.6,0.095,0.17,0.8075471698113208,2822.4804470020704
0.9,0.17,2.6,0.2,0.15300000000000002,0.2544,0.20544,0.8075471698113208,1158.3115388546594,859.7630354625754,1719.5286502168367,2580,2317,0.048960000000000004,20.424836601307188,90%,Less likely,2.6,0.2,0.17,0.8075471698113208,1158.3115388546594
0.9,0.17,4,0.049,0.15300000000000002,0.07399,0.051498999999999996,0.6960264900662251,1823.7825089228988,1336.286402110837,2672.576813084889,4009,3648,0.022491000000000004,44.46222933617891,90%,Implausible,4,0.049,0.17,0.6960264900662251,1823.7825089228988
0.9,0.17,4,0.095,0.15300000000000002,0.14345000000000002,0.099845,0.6960264900662251,880.9593378712555,646.5566171471547,1293.1151739661007,1940,1762,0.04360500000000002,22.93314986813438,90%,Implausible,4,0.095,0.17,0.6960264900662251,880.9593378712555
0.9,0.17,4,0.2,0.15300000000000002,0.30200000000000005,0.21020000000000003,0.6960264900662252,353.6946196219982,260.815520040543,521.6318225284286,783,708,0.09180000000000002,10.893246187363832,90%,Implausible,4,0.2,0.17,0.6960264900662252,353.6946196219982
